design,fold_id,model_id,parameter_count,feature_count,state_sha256
leave_profile_out,leave_profile_out_P-V05,M1_ridge,74,73,048a2ba04672e0b71f80e8fa738d1cc7bb908c14f4ce73510cffe2fbb2769374
leave_profile_out,leave_profile_out_P-V05,M2_extra_trees,41856,73,c48466f1531f8d19b548700a5e9cb677bab78cf897c1410b4e7fc985cbfba54c
leave_profile_out,leave_profile_out_P-V06,B1_persistence_last_rate,1,0,8d1a9fd45ce8a1ebefd241bf7d9e0f18d528c0cdefdbc0b728fa0d38db4e3407
leave_profile_out,leave_profile_out_P-V06,B3_profile_robust_trend,3,0,e5700f23b8ab60501d36b78232207ad63aa47121a95281f765b703f28eb9f895
leave_profile_out,leave_profile_out_P-V06,B5_fixed_kalman,0,0,832d166274dbbd9198e6fd4c46e577d74198f8b1ef64e144858767d471e56e80
leave_profile_out,leave_profile_out_P-V06,M1_ridge,74,73,5bcb1e2e68797c420fb47fe08997e2950549764230f3c7882b4b752aaf05cde4
leave_profile_out,leave_profile_out_P-V06,M2_extra_trees,41502,73,b76dfdb9220cee00c13737cc2101c6c61e36fc6ace33910aab5fa3dde4cc21fe
leave_zone_out,leave_zone_out_GEO_NE,B1_persistence_last_rate,1,0,d61139b82e67bf52bc599ab094d8bdc9b3a8b84ff7e6c44996daeffdaccb173a
leave_zone_out,leave_zone_out_GEO_NE,B3_profile_robust_trend,3,0,ca8349414bac8ae47e4953891f452706cfd3c4dd1ce250fb9894cbe8cd186112
leave_zone_out,leave_zone_out_GEO_NE,B5_fixed_kalman,0,0,da2f8166ed87abd7687c92e7d463f41d5a0004655911165689ee9f6feb78ce29
leave_zone_out,leave_zone_out_GEO_NE,M1_ridge,74,73,08f89665241834cb30a89e67cfd0d38f6d7e5c10f734a84f431b19377a801df5
leave_zone_out,leave_zone_out_GEO_NE,M2_extra_trees,33870,73,82e6478af2e2c3632568ab7454bcccec637a492d59736b2819be47d7b1135b64
leave_zone_out,leave_zone_out_GEO_NW,B1_persistence_last_rate,1,0,e7d523911470884ec90fc5b0599dcb9fd54a6a1d9983769b5fc0f5aafd943fa9
leave_zone_out,leave_zone_out_GEO_NW,B3_profile_robust_trend,3,0,220c42b7f930acb46cce2dbf7f3de164b3e732d4404c93d73f1fc48da4b421af
