design,fold_id,held_out_group,model_id,family,train_rows,validation_rows,fit_seconds,inference_seconds,n,mae,rmse,bias,r2,precision_weighted_n,precision_weighted_mae,precision_weighted_rmse,precision_weighted_bias,precision_weighted_r2
rolling_origin,rolling_05,,B3_profile_robust_trend,profile_robust_trend,1027,14,0.0011203000030945987,0.000338400001055561,14,18.34115506882123,22.111668643584384,-7.307456028018276,0.8772597767401377,14,18.429478754811015,22.365997582751817,-7.981244587126661,0.8728648105793861
rolling_origin,rolling_05,,B5_fixed_kalman,fixed_kalman,1027,14,0.00043339999683666974,0.034727899997960776,14,11.380529986668392,17.293373699984627,-6.276510513502888,0.9249236195186648,14,11.722570799059934,17.714828015523214,-6.989207645682582,0.9202440471642517
rolling_origin,rolling_05,,M1_ridge,ridge,1027,14,0.029327800002647564,0.012435299999197014,14,12.428506640987369,15.308722628051298,-3.257992152193129,0.9411668932497385,14,12.538357247886932,15.495307034475285,-4.016489347138458,0.9389775557461194
rolling_origin,rolling_05,,M2_extra_trees,extra_trees,1027,14,0.5766825000027893,0.02135419999831356,14,7.779880259696046,10.148176066180323,-3.338454726246112,0.9741464693310685,14,7.964909711855147,10.37568384120526,-3.7998324680853837,0.972639584595112
leave_profile_out,leave_profile_out_P-D01,P-D01,B1_persistence_last_rate,persistence,833,21,0.00048329999845009297,3.539999306667596e-05,21,5.5586843797813925,6.320016713775196,-0.45771011036985554,0.9894524234314641,21,5.079368344084939,5.879848634611491,-1.0989638430595823,0.9909097206410121
leave_profile_out,leave_profile_out_P-D01,P-D01,B3_profile_robust_trend,profile_robust_trend,833,21,0.0008464999991701916,0.00019279999833088368,21,11.700864565948061,14.90551993237066,-2.779098930972974,0.9413307559471993,21,11.39070694619394,14.72327166785419,-3.4088665181710662,0.9430027911412736
leave_profile_out,leave_profile_out_P-D01,P-D01,B5_fixed_kalman,fixed_kalman,833,21,0.00043509999522939324,0.04853519999596756,21,4.955660526064534,5.527622883662127,-1.5529808772875313,0.9919314955044591,21,4.998888210461894,5.593822789841446,-2.4693501413715553,0.9917726050526382
leave_profile_out,leave_profile_out_P-D01,P-D01,M1_ridge,ridge,833,21,0.028814899997087196,0.011444700008723885,21,9.252783132556608,10.869445933338813,1.2572073980804466,0.9688016916313639,21,8.84466511309406,10.515281155334797,0.40296624905737166,0.9709272096701741
leave_profile_out,leave_profile_out_P-D01,P-D01,M2_extra_trees,extra_trees,833,21,0.4944233999995049,0.019826100004138425,21,12.676665463423682,18.100282862410104,-7.392826428782522,0.9134858875167458,21,12.496010716739807,18.12193908084601,-8.203051617827791,0.9136516049106999
leave_profile_out,leave_profile_out_P-H01,P-H01,B1_persistence_last_rate,persistence,846,18,0.0004751999949803576,3.650000144261867e-05,18,8.938395307263875,10.08827218798232,-0.756684055874993,0.9492028559931964,18,8.596005802606586,9.71434071207781,-0.8803449450317185,0.9532078765562093
