tuning_context,student_t_df,inner_folds,validation_rows,volatile_or_gap_rows,overall_mae,reference_b7_overall_mae,overall_normalized_mae,volatile_or_gap_mae,reference_b7_volatile_or_gap_mae,volatile_or_gap_normalized_mae,tuning_score,inner_fold_contract_sha256,all_inner_folds_forward_only,selected
outer::train_leave_profile_out_P-V06,3.0,3,108,7,7.2330449281693685,6.35545011176199,1.138085391431713,7.709039746024373,3.288548108839169,2.344207684024304,1.7411465377280084,e64ea5ad964f7da6d8a2bf3d476f0976ed07c3dd081d8cf240fc30e52d00d427,True,False
outer::train_leave_profile_out_P-V06,5.0,3,108,7,7.319289157863391,6.35545011176199,1.151655512851502,8.27525181384358,3.288548108839169,2.51638459890577,1.834020055878636,e64ea5ad964f7da6d8a2bf3d476f0976ed07c3dd081d8cf240fc30e52d00d427,True,False
outer::train_leave_profile_out_P-V06,10.0,3,108,7,7.052781861460165,6.35545011176199,1.1097218509209328,5.523628184736159,3.288548108839169,1.6796555811026148,1.3946887160117738,e64ea5ad964f7da6d8a2bf3d476f0976ed07c3dd081d8cf240fc30e52d00d427,True,False
outer::train_leave_profile_out_P-V06,30.0,3,108,7,6.913070478330705,6.35545011176199,1.0877389259238666,3.637421500581443,3.288548108839169,1.1060873614117277,1.096913143667797,e64ea5ad964f7da6d8a2bf3d476f0976ed07c3dd081d8cf240fc30e52d00d427,True,True
outer::train_leave_zone_out_GEO_NE,3.0,3,81,9,8.6675513098106,7.410550504465202,1.169623134554983,7.229278766252595,4.590644030769223,1.5747853063312411,1.3722042204431122,50ac7d39c21d6236351bdaf0b7cb8719897fac89c957b0eab290d7d60d1ccb13,True,False
outer::train_leave_zone_out_GEO_NE,5.0,3,81,9,8.758245394191771,7.410550504465202,1.1818616429257882,7.283831874274177,4.590644030769223,1.5866688476504842,1.384265245288136,50ac7d39c21d6236351bdaf0b7cb8719897fac89c957b0eab290d7d60d1ccb13,True,False
outer::train_leave_zone_out_GEO_NE,10.0,3,81,9,8.291581386352933,7.410550504465202,1.1188887224177029,4.938403550172165,4.590644030769223,1.0757539720074245,1.0973213472125636,50ac7d39c21d6236351bdaf0b7cb8719897fac89c957b0eab290d7d60d1ccb13,True,False
outer::train_leave_zone_out_GEO_NE,30.0,3,81,9,8.087863236065997,7.410550504465202,1.0913984367548246,3.9887243449378595,4.590644030769223,0.868881211046437,0.9801398239006308,50ac7d39c21d6236351bdaf0b7cb8719897fac89c957b0eab290d7d60d1ccb13,True,True
outer::train_leave_zone_out_GEO_NW,3.0,3,106,7,7.289395544363057,6.389255719083563,1.1408833618274092,7.775273055433098,3.3320006827332977,2.333514844617291,1.7371991032223502,e744354724d3cbb677b358a39b5191d69524fb75ed392a9e874805ba62422b11,True,False
outer::train_leave_zone_out_GEO_NW,5.0,3,106,7,7.38981485653767,6.389255719083563,1.1566002647954152,8.308511219040083,3.3320006827332977,2.4935502750931215,1.8250752699442683,e744354724d3cbb677b358a39b5191d69524fb75ed392a9e874805ba62422b11,True,False
outer::train_leave_zone_out_GEO_NW,10.0,3,106,7,7.132490321801154,6.389255719083563,1.1163256935385577,5.789837893835775,3.3320006827332977,1.7376460706743524,1.4269858821064552,e744354724d3cbb677b358a39b5191d69524fb75ed392a9e874805ba62422b11,True,False
