design,model_id,scope,segment,rows,points,profiles,n,mae,rmse,bias,r2,reference_b1_mae,improvement_vs_b1_percent
leave_zone_out,B6_adaptive_kalman,mechanism,stable,77,71,14,77,4.525094541671902,5.582982182515731,0.40842792352796786,0.9720182804871109,4.953416234017137,8.64699577240803
leave_zone_out,B5_fixed_kalman,mechanism,stable,77,71,14,77,4.537478037372804,5.653060869768129,0.47956248549486746,0.9713114076919472,4.953416234017137,8.396996678533
leave_zone_out,B1_persistence_last_rate,mechanism,stable,77,71,14,77,4.953416234017137,6.104418900468964,-0.2323776788467557,0.9665473465192986,4.953416234017137,0.0
leave_zone_out,B1_persistence_last_rate,mechanism,volatile_or_gap,18,17,9,18,12.67822577866632,18.656299005230462,-6.488218145935969,0.814683344818633,12.67822577866632,0.0
leave_zone_out,B6_adaptive_kalman,mechanism,volatile_or_gap,18,17,9,18,13.816949571367966,20.13815210571775,-8.821124927357655,0.7840751138064527,12.67822577866632,-8.981728300010074
leave_zone_out,B5_fixed_kalman,mechanism,volatile_or_gap,18,17,9,18,14.205972446328555,20.065985430789286,-8.342525895490654,0.7856199090069185,12.67822577866632,-12.050161389561135
leave_zone_out,B6_adaptive_kalman,stable_vs_transition,stable,77,71,14,77,4.525094541671902,5.582982182515731,0.40842792352796786,0.9720182804871109,4.953416234017137,8.64699577240803
leave_zone_out,B5_fixed_kalman,stable_vs_transition,stable,77,71,14,77,4.537478037372804,5.653060869768129,0.47956248549486746,0.9713114076919472,4.953416234017137,8.396996678533
leave_zone_out,B1_persistence_last_rate,stable_vs_transition,stable,77,71,14,77,4.953416234017137,6.104418900468964,-0.2323776788467557,0.9665473465192986,4.953416234017137,0.0
leave_zone_out,B1_persistence_last_rate,stable_vs_transition,transition,53,34,10,53,10.735976936788065,15.700725778535398,-7.134141101664923,0.9082376935516928,10.735976936788065,0.0
leave_zone_out,B5_fixed_kalman,stable_vs_transition,transition,53,34,10,53,13.118847586109068,19.783357721081035,-9.242971835355211,0.8543116341485439,10.735976936788065,-22.195191582014502
leave_zone_out,B6_adaptive_kalman,stable_vs_transition,transition,53,34,10,53,14.042470369852806,21.88313523551472,-10.236491816103795,0.8217440838534057,10.735976936788065,-30.798253876036746
rolling_origin,B1_persistence_last_rate,all,all,218,93,14,218,6.8237937224175695,10.832807537871396,-1.403071584712113,0.9352119754485313,6.8237937224175695,0.0
rolling_origin,B6_adaptive_kalman,all,all,218,93,14,218,6.958573052227978,11.332045321236713,-1.9530100138686552,0.9291027664558206,6.8237937224175695,-1.9751378088647435
rolling_origin,B5_fixed_kalman,all,all,218,93,14,218,7.696273649794031,13.203883250069847,-2.4129318708197354,0.9037466098576213,6.8237937224175695,-12.785848501108477
rolling_origin,B1_persistence_last_rate,mechanism,accelerating,34,25,7,34,12.16593070139682,16.98910332518502,-8.884097482635386,0.8919359651365363,12.16593070139682,0.0
rolling_origin,B6_adaptive_kalman,mechanism,accelerating,34,25,7,34,14.031459401640253,19.153449100583874,-12.159406311316529,0.8626482340600623,12.16593070139682,-15.334040165371361
rolling_origin,B5_fixed_kalman,mechanism,accelerating,34,25,7,34,18.978643784434958,25.405515364582175,-17.630694867038276,0.7583447235690268,12.16593070139682,-55.998289405478396
rolling_origin,B5_fixed_kalman,mechanism,decelerating,14,14,7,14,5.242645701537295,6.801710298461079,1.7550134917263693,0.9558439989883902,5.549320012882371,5.526340355812106
