tuning_context,candidate_key,q_base,acceleration_gain,inner_fold_id,train_rows,validation_rows,train_target_date_max,validation_target_date_min,validation_target_date_max,train_sample_ids_sha256,validation_sample_ids_sha256,n,mae,rmse,bias,r2,candidate_aggregate_mae,candidate_aggregate_rmse,selected
outer::leave_profile_out_P-H02,q=10|gain=0,10.0,0.0,rolling_02,751,7,2023-05-16,2023-07-25,2023-07-25,2d1cd811122e8771881bd46b212e899add432ef56ef13b787d40671be2a116dc,5899575d8da1a6773e508ab7edb9ea8adb4b3a934101060537c6635a0ed7568a,7,9.669137685240035,18.905505649787575,-7.30621094235091,0.6901875542331855,5.548289873206143,10.202160732324208,True
outer::leave_profile_out_P-H02,q=10|gain=0,10.0,0.0,rolling_03,758,81,2023-07-25,2023-11-07,2023-11-07,fb89f5b5fb5d36eca41082fe2878f8e87ca112ab9f8e787ce8204320f9b04e64,f750803f8774b0a53d14798fdd369aee4890809b7de7918893e2f69ed575b77d,81,6.097629479657623,11.316630865171163,0.3651035246882013,0.8807143732292757,5.548289873206143,10.202160732324208,True
outer::leave_profile_out_P-H02,q=2|gain=0,2.0,0.0,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,8ea6fc4a05e6df7513a5867548bccb7b0d6f5134dab9cc3c2d7a18d0b576c115,940f5b20042bf707144c69265250e69d222ec3de5a98a4aa15598f559c2048d2,81,4.835920201688638,9.264810896176549,-1.2724788006293355,0.8827206609019672,5.778393646856818,11.454169196094231,False
outer::leave_profile_out_P-H02,q=2|gain=0,2.0,0.0,rolling_02,751,7,2023-05-16,2023-07-25,2023-07-25,2d1cd811122e8771881bd46b212e899add432ef56ef13b787d40671be2a116dc,5899575d8da1a6773e508ab7edb9ea8adb4b3a934101060537c6635a0ed7568a,7,10.06254311684808,19.88335466162883,-6.470156509729344,0.6573098801691467,5.778393646856818,11.454169196094231,False
outer::leave_profile_out_P-H02,q=2|gain=0,2.0,0.0,rolling_03,758,81,2023-07-25,2023-11-07,2023-11-07,fb89f5b5fb5d36eca41082fe2878f8e87ca112ab9f8e787ce8204320f9b04e64,f750803f8774b0a53d14798fdd369aee4890809b7de7918893e2f69ed575b77d,81,6.3506319526430355,12.398850852218219,-0.05526734900600039,0.8568086813257179,5.778393646856818,11.454169196094231,False
outer::leave_profile_out_P-H02,q=25|gain=0,25.0,0.0,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,8ea6fc4a05e6df7513a5867548bccb7b0d6f5134dab9cc3c2d7a18d0b576c115,940f5b20042bf707144c69265250e69d222ec3de5a98a4aa15598f559c2048d2,81,5.330060849630474,8.102522232241201,-1.2005529493450844,0.9103007413068118,5.8053367836836065,10.078919968754718,False
outer::leave_profile_out_P-H02,q=25|gain=0,25.0,0.0,rolling_02,751,7,2023-05-16,2023-07-25,2023-07-25,2d1cd811122e8771881bd46b212e899add432ef56ef13b787d40671be2a116dc,5899575d8da1a6773e508ab7edb9ea8adb4b3a934101060537c6635a0ed7568a,7,9.734548788077252,18.9082475039631,-7.898410767115094,0.6900976838893639,5.8053367836836065,10.078919968754718,False
outer::leave_profile_out_P-H02,q=25|gain=0,25.0,0.0,rolling_03,758,81,2023-07-25,2023-11-07,2023-11-07,fb89f5b5fb5d36eca41082fe2878f8e87ca112ab9f8e787ce8204320f9b04e64,f750803f8774b0a53d14798fdd369aee4890809b7de7918893e2f69ed575b77d,81,5.941051186492843,10.742455942235305,0.6298987254371546,0.8925117532007766,5.8053367836836065,10.078919968754718,False
outer::leave_profile_out_P-H02,q=2|gain=0.25,2.0,0.25,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,8ea6fc4a05e6df7513a5867548bccb7b0d6f5134dab9cc3c2d7a18d0b576c115,940f5b20042bf707144c69265250e69d222ec3de5a98a4aa15598f559c2048d2,81,5.2823425990517245,8.387779280408777,-1.1227524054760158,0.9038736662536917,5.926176541795989,10.656724148804784,False
outer::leave_profile_out_P-H02,q=2|gain=0.25,2.0,0.25,rolling_02,751,7,2023-05-16,2023-07-25,2023-07-25,2d1cd811122e8771881bd46b212e899add432ef56ef13b787d40671be2a116dc,5899575d8da1a6773e508ab7edb9ea8adb4b3a934101060537c6635a0ed7568a,7,9.79113358489736,18.970500206516824,-6.447681374096216,0.6880537064979658,5.926176541795989,10.656724148804784,False
outer::leave_profile_out_P-H02,q=2|gain=0.25,2.0,0.25,rolling_03,758,81,2023-07-25,2023-11-07,2023-11-07,fb89f5b5fb5d36eca41082fe2878f8e87ca112ab9f8e787ce8204320f9b04e64,f750803f8774b0a53d14798fdd369aee4890809b7de7918893e2f69ed575b77d,81,6.236001851185815,11.640029788284979,0.49793698968291145,0.8737992312574085,5.926176541795989,10.656724148804784,False
outer::leave_profile_out_P-H02,q=10|gain=0.25,10.0,0.25,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,8ea6fc4a05e6df7513a5867548bccb7b0d6f5134dab9cc3c2d7a18d0b576c115,940f5b20042bf707144c69265250e69d222ec3de5a98a4aa15598f559c2048d2,81,5.542085354325032,7.763947134073077,-1.1069267256981439,0.9176405324457243,5.928232517682223,9.887326498473369,False
outer::leave_profile_out_P-H02,q=10|gain=0.25,10.0,0.25,rolling_02,751,7,2023-05-16,2023-07-25,2023-07-25,2d1cd811122e8771881bd46b212e899add432ef56ef13b787d40671be2a116dc,5899575d8da1a6773e508ab7edb9ea8adb4b3a934101060537c6635a0ed7568a,7,9.397728153289314,18.0221934419842,-7.2837358067177815,0.7184616513896713,5.928232517682223,9.887326498473369,False
outer::leave_profile_out_P-H02,q=10|gain=0.25,10.0,0.25,rolling_03,758,81,2023-07-25,2023-11-07,2023-11-07,fb89f5b5fb5d36eca41082fe2878f8e87ca112ab9f8e787ce8204320f9b04e64,f750803f8774b0a53d14798fdd369aee4890809b7de7918893e2f69ed575b77d,81,6.014546724875839,10.75261897192965,0.9183078633771131,0.8923082758969039,5.928232517682223,9.887326498473369,False
outer::leave_profile_out_P-H02,q=100|gain=0,100.0,0.0,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,8ea6fc4a05e6df7513a5867548bccb7b0d6f5134dab9cc3c2d7a18d0b576c115,940f5b20042bf707144c69265250e69d222ec3de5a98a4aa15598f559c2048d2,81,6.363089590757305,9.709234670741864,-1.0044014806370227,0.871199251370793,6.271970578414556,10.570095146009583,False
