old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0106,MGEO-0106,mining_geometry,EV-VN-S014-0883,DOCS_LEAKAGE-019
GEO-0107,MGEO-0107,mining_geometry,EV-VN-S014-0884,DOCS_LEAKAGE-019
GEO-0108,MGEO-0108,mining_geometry,EV-VN-S014-0887,DOCS_LEAKAGE-019
GEO-0109,MGEO-0109,mining_geometry,EV-VN-S014-0890,DOCS_LEAKAGE-019
GEO-0110,MGEO-0110,mining_geometry,EV-VN-S014-0892,DOCS_LEAKAGE-019
GEO-0111,MGEO-0111,mining_geometry,EV-VN-S014-0895,DOCS_LEAKAGE-019
GEO-0112,MGEO-0112,mining_geometry,EV-VN-S014-0897,DOCS_LEAKAGE-019
GEO-0113,MGEO-0113,mining_geometry,EV-VN-S014-0911,DOCS_LEAKAGE-019
GEO-0114,MGEO-0114,mining_geometry,EV-VN-S014-0921,DOCS_LEAKAGE-019
GEO-0115,MGEO-0115,mining_geometry,EV-VN-S014-0982,DOCS_LEAKAGE-019
GEO-0116,MGEO-0116,mining_geometry,EV-VN-S014-0989,DOCS_LEAKAGE-019
GEO-0117,MGEO-0117,mining_geometry,EV-VN-S014-1021,DOCS_LEAKAGE-019
GEO-0118,MGEO-0118,mining_geometry,EV-VN-S014-1023,DOCS_LEAKAGE-019
GEO-0119,MGEO-0119,mining_geometry,EV-VN-S014-1033,DOCS_LEAKAGE-019
GEO-0120,MGEO-0120,mining_geometry,EV-VN-S014-1083,DOCS_LEAKAGE-019
GEO-0121,MGEO-0121,mining_geometry,EV-VN-S014-1102,DOCS_LEAKAGE-019
GEO-0122,MGEO-0122,mining_geometry,EV-VN-S014-1103,DOCS_LEAKAGE-019
GEO-0123,MGEO-0123,mining_geometry,EV-VN-S014-1106,DOCS_LEAKAGE-019
GEO-0124,MGEO-0124,mining_geometry,EV-VN-S014-1110,DOCS_LEAKAGE-019
GEO-0125,MGEO-0125,mining_geometry,EV-VN-S014-1132,DOCS_LEAKAGE-019
GEO-0126,MGEO-0126,mining_geometry,EV-VN-S014-1137,DOCS_LEAKAGE-019
GEO-0127,MGEO-0127,mining_geometry,EV-VN-S014-1161,DOCS_LEAKAGE-019
GEO-0128,MGEO-0128,mining_geometry,EV-VN-S014-1163,DOCS_LEAKAGE-019
GEO-0129,MGEO-0129,mining_geometry,EV-VN-S014-1178,DOCS_LEAKAGE-019
GEO-0130,MGEO-0130,mining_geometry,EV-VN-S014-1185,DOCS_LEAKAGE-019
GEO-0131,MGEO-0131,mining_geometry,EV-VN-S014-1200,DOCS_LEAKAGE-019
GEO-0132,MGEO-0132,mining_geometry,EV-VN-S014-1215,DOCS_LEAKAGE-019
GEO-0133,MGEO-0133,mining_geometry,EV-VN-S014-1232,DOCS_LEAKAGE-019
GEO-0134,MGEO-0134,mining_geometry,EV-VN-S015-0062,DOCS_LEAKAGE-019
GEO-0135,MGEO-0135,mining_geometry,EV-VN-S015-0065,DOCS_LEAKAGE-019
GEO-0136,MGEO-0136,mining_geometry,EV-VN-S015-0069,DOCS_LEAKAGE-019
GEO-0137,MGEO-0137,mining_geometry,EV-VN-S015-0070,DOCS_LEAKAGE-019
GEO-0138,MGEO-0138,mining_geometry,EV-VN-S016-0006,DOCS_LEAKAGE-019
GEO-0139,MGEO-0139,mining_geometry,EV-VN-S016-0022,DOCS_LEAKAGE-019
GEO-0140,MGEO-0140,mining_geometry,EV-VN-S019-0006,DOCS_LEAKAGE-019
GEO-0141,MGEO-0141,mining_geometry,EV-VN-S019-0025,DOCS_LEAKAGE-019
GEO-0142,MGEO-0142,mining_geometry,EV-VN-S019-0026,DOCS_LEAKAGE-019
GEO-0143,MGEO-0143,mining_geometry,EV-VN-S019-0027,DOCS_LEAKAGE-019
GEO-0144,MGEO-0144,mining_geometry,EV-VN-S020-0088,DOCS_LEAKAGE-019
GEO-0145,MGEO-0145,mining_geometry,EV-VN-S020-0097,DOCS_LEAKAGE-019
GEO-0146,MGEO-0146,mining_geometry,EV-VN-S020-0104,DOCS_LEAKAGE-019
GEO-0147,MGEO-0147,mining_geometry,EV-VN-S020-0109,DOCS_LEAKAGE-019
GEO-0148,MGEO-0148,mining_geometry,EV-VN-S020-0112,DOCS_LEAKAGE-019
GEO-0149,MGEO-0149,mining_geometry,EV-VN-S020-0120,DOCS_LEAKAGE-019
GEO-0150,MGEO-0150,mining_geometry,EV-VN-S020-0124,DOCS_LEAKAGE-019
GEO-0151,MGEO-0151,mining_geometry,EV-VN-S020-0128,DOCS_LEAKAGE-019
GEO-0152,MGEO-0152,mining_geometry,EV-VN-S020-0131,DOCS_LEAKAGE-019
GEO-0153,MGEO-0153,mining_geometry,EV-VN-S020-0133,DOCS_LEAKAGE-019
GEO-0154,MGEO-0154,mining_geometry,EV-VN-S020-0134,DOCS_LEAKAGE-019
GEO-0155,MGEO-0155,mining_geometry,EV-VN-S020-0138,DOCS_LEAKAGE-019
GEO-0156,MGEO-0156,mining_geometry,EV-VN-S020-0139,DOCS_LEAKAGE-019
GEO-0157,MGEO-0157,mining_geometry,EV-VN-S020-0143,DOCS_LEAKAGE-019
GEO-0158,MGEO-0158,mining_geometry,EV-VN-S020-0144,DOCS_LEAKAGE-019
GEO-0159,MGEO-0159,mining_geometry,EV-VN-S020-0145,DOCS_LEAKAGE-019
GEO-0160,MGEO-0160,mining_geometry,EV-VN-S020-0147,DOCS_LEAKAGE-019
GEO-0161,MGEO-0161,mining_geometry,EV-VN-S020-0152,DOCS_LEAKAGE-019
GEO-0162,MGEO-0162,mining_geometry,EV-VN-S020-0167,DOCS_LEAKAGE-019
GEO-0163,MGEO-0163,mining_geometry,EV-VN-S020-0207,DOCS_LEAKAGE-019
GEO-0164,MGEO-0164,mining_geometry,EV-VN-S020-0210,DOCS_LEAKAGE-019
GEO-0165,MGEO-0165,mining_geometry,EV-VN-S020-0212,DOCS_LEAKAGE-019
GEO-0166,MGEO-0166,mining_geometry,EV-VN-S020-0215,DOCS_LEAKAGE-019
GEO-0167,MGEO-0167,mining_geometry,EV-VN-S020-0216,DOCS_LEAKAGE-019
GEO-0168,MGEO-0168,mining_geometry,EV-VN-S020-0218,DOCS_LEAKAGE-019
GEO-0169,MGEO-0169,mining_geometry,EV-VN-S020-0226,DOCS_LEAKAGE-019
GEO-0170,MGEO-0170,mining_geometry,EV-VN-S020-0228,DOCS_LEAKAGE-019
GEO-0171,MGEO-0171,mining_geometry,EV-VN-S020-0318,DOCS_LEAKAGE-019
GEO-0172,MGEO-0172,mining_geometry,EV-VN-S020-0322,DOCS_LEAKAGE-019
GEO-0173,MGEO-0173,mining_geometry,EV-VN-S020-0326,DOCS_LEAKAGE-019
GEO-0174,MGEO-0174,mining_geometry,EV-VN-S020-0329,DOCS_LEAKAGE-019
GEO-0175,MGEO-0175,mining_geometry,EV-VN-S020-0333,DOCS_LEAKAGE-019
GEO-0176,MGEO-0176,mining_geometry,EV-VN-S020-0336,DOCS_LEAKAGE-019
GEO-0177,MGEO-0177,mining_geometry,EV-VN-S020-0341,DOCS_LEAKAGE-019
GEO-0178,MGEO-0178,mining_geometry,EV-VN-S020-0348,DOCS_LEAKAGE-019
GEO-0179,MGEO-0179,mining_geometry,EV-VN-S020-0349,DOCS_LEAKAGE-019
GEO-0180,MGEO-0180,mining_geometry,EV-VN-S020-0350,DOCS_LEAKAGE-019
GEO-0181,MGEO-0181,mining_geometry,EV-VN-S020-0352,DOCS_LEAKAGE-019
GEO-0182,MGEO-0182,mining_geometry,EV-VN-S020-0365,DOCS_LEAKAGE-019
GEO-0183,MGEO-0183,mining_geometry,EV-VN-S020-0369,DOCS_LEAKAGE-019
GEO-0184,MGEO-0184,mining_geometry,EV-VN-S020-0400,DOCS_LEAKAGE-019
GEO-0185,MGEO-0185,mining_geometry,EV-VN-S020-0404,DOCS_LEAKAGE-019
GEO-0186,MGEO-0186,mining_geometry,EV-VN-S020-0437,DOCS_LEAKAGE-019
GEO-0187,MGEO-0187,mining_geometry,EV-VN-S021-0031,DOCS_LEAKAGE-019
GEO-0188,MGEO-0188,mining_geometry,EV-VN-S023-0005,DOCS_LEAKAGE-019
GEO-0189,MGEO-0189,mining_geometry,EV-VN-S023-0039,DOCS_LEAKAGE-019
GEO-0190,MGEO-0190,mining_geometry,EV-VN-S023-0080,DOCS_LEAKAGE-019
