id,source_id,locator,line,method,interval_start,interval_end,x_label_as_printed,value_mm,digitization_status,digitization_uncertainty_mm,status,scope,evidence_note,position_index,reading_origin,raster_x_px,raster_y_px,legacy_point_id
OBS-MUS-P15-1-INSAR-017,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.3,-6.0,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,3,atlas_digitization,238.269,96,SUP01-P1-RADAR-2015_2016-003
OBS-MUS-P15-1-INSAR-018,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.4,-10.1,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,4,atlas_digitization,293.654,99.5,SUP01-P1-RADAR-2015_2016-004
OBS-MUS-P15-1-INSAR-019,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.5,-6.0,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,5,atlas_digitization,349.038,96,SUP01-P1-RADAR-2015_2016-005
OBS-MUS-P15-1-INSAR-020,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.6,-10.1,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,6,atlas_digitization,404.423,99.5,SUP01-P1-RADAR-2015_2016-006
OBS-MUS-P15-1-INSAR-021,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.7,-29.3,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,7,atlas_digitization,459.808,115.5,SUP01-P1-RADAR-2015_2016-007
OBS-MUS-P15-1-INSAR-022,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.8,-36.4,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,8,atlas_digitization,515.192,121.5,SUP01-P1-RADAR-2015_2016-008
OBS-MUS-P15-1-INSAR-023,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.9,-45.4,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,9,atlas_digitization,570.577,129,SUP01-P1-RADAR-2015_2016-009
OBS-MUS-P15-1-INSAR-024,VKM-SRC-002,PDF p.15,1,insar,2015,2016,1,-46.6,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,10,atlas_digitization,625.962,130,SUP01-P1-RADAR-2015_2016-010
OBS-MUS-P15-1-INSAR-025,VKM-SRC-002,PDF p.15,1,insar,2015,2016,1.1,-49.0,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,11,atlas_digitization,681.346,132,SUP01-P1-RADAR-2015_2016-011
OBS-MUS-P15-1-INSAR-026,VKM-SRC-002,PDF p.15,1,insar,2015,2016,1.2,-52.5,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,12,atlas_digitization,736.731,135,SUP01-P1-RADAR-2015_2016-012
OBS-MUS-P15-1-INSAR-027,VKM-SRC-002,PDF p.15,1,insar,2015,2016,1.3,-56.1,partially_occluded_approximation,9.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,13,atlas_digitization,792.115,138,SUP01-P1-RADAR-2015_2016-013
OBS-MUS-P15-1-INSAR-028,VKM-SRC-002,PDF p.15,1,insar,2015,2016,1.4,-72.2,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,14,atlas_digitization,847.5,151.5,SUP01-P1-RADAR-2015_2016-014
OBS-MUS-P15-5-LEVELLING-001,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0,-308.7,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,1,atlas_digitization,116,386.5,SUP01-P5-LEVELING-2011_2016-001
OBS-MUS-P15-5-LEVELLING-002,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.1,-279.5,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,2,atlas_digitization,148.348,358.5,SUP01-P5-LEVELING-2011_2016-002
OBS-MUS-P15-5-LEVELLING-003,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.15,-237.7,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,3,atlas_digitization,180.696,318.5,SUP01-P5-LEVELING-2011_2016-003
OBS-MUS-P15-5-LEVELLING-004,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.2,-240.8,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,4,atlas_digitization,213.043,321.5,SUP01-P5-LEVELING-2011_2016-004
OBS-MUS-P15-5-LEVELLING-005,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.25,-201.6,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,5,atlas_digitization,245.391,284,SUP01-P5-LEVELING-2011_2016-005
OBS-MUS-P15-5-LEVELLING-006,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.3,-161.4,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,6,atlas_digitization,277.739,245.5,SUP01-P5-LEVELING-2011_2016-006
OBS-MUS-P15-5-LEVELLING-007,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.35,-129.0,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,7,atlas_digitization,310.087,214.5,SUP01-P5-LEVELING-2011_2016-007
OBS-MUS-P15-5-LEVELLING-008,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.4,-132.7,partially_occluded_approximation,8.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,8,atlas_digitization,342.435,218,SUP01-P5-LEVELING-2011_2016-008
OBS-MUS-P15-5-LEVELLING-009,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.45,-128.0,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,9,atlas_digitization,374.783,213.5,SUP01-P5-LEVELING-2011_2016-009
OBS-MUS-P15-5-LEVELLING-010,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.5,-119.6,partially_occluded_approximation,8.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,10,atlas_digitization,407.13,205.5,SUP01-P5-LEVELING-2011_2016-010
OBS-MUS-P15-5-LEVELLING-011,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.55,-123.3,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,11,atlas_digitization,439.478,209,SUP01-P5-LEVELING-2011_2016-011
OBS-MUS-P15-5-LEVELLING-012,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.6,-132.2,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,12,atlas_digitization,471.826,217.5,SUP01-P5-LEVELING-2011_2016-012
OBS-MUS-P15-5-LEVELLING-013,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.65,-140.0,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,13,atlas_digitization,504.174,225,SUP01-P5-LEVELING-2011_2016-013
