scenario_id,dynamic_mechanism,experiment_role,observation_condition,missingness_mechanism,measurement_error_mechanism,base_seed,generator_seed,amplitude_mm,mechanism_parameters_json,constraint_ids,confidence
SCN041-REACTIVATION-STATE-DEPENDENT-DATUM-FAILURE,reactivation,heldout_mechanism,state_dependent_datum_failure,state_dependent,reference_datum_failure,104729,802202859,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN042-REACTIVATION-STATE-DEPENDENT-ORDINARY,reactivation,heldout_mechanism,state_dependent_ordinary,state_dependent,ordinary_noise,104729,1822326690,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN043-REACTIVATION-STATE-DEPENDENT-GROSS-ERROR,reactivation,heldout_mechanism,state_dependent_gross_error,state_dependent,gross_error,104729,2252938568,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN044-REACTIVATION-PLANNED-CAMPAIGN-FAILURE-ORDINARY,reactivation,heldout_mechanism,planned_campaign_failure_ordinary,planned_campaign_failure,ordinary_noise,104729,914871557,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN045-REACTIVATION-PLANNED-CAMPAIGN-FAILURE-GROSS-ERROR,reactivation,heldout_mechanism,planned_campaign_failure_gross_error,planned_campaign_failure,gross_error,104729,4154718753,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN046-REACTIVATION-PLANNED-CAMPAIGN-FAILURE-DATUM-FAILURE,reactivation,heldout_mechanism,planned_campaign_failure_datum_failure,planned_campaign_failure,reference_datum_failure,104729,4004818604,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN047-REACTIVATION-INDEPENDENT-GROSS-ERROR,reactivation,heldout_mechanism,independent_gross_error,independent,gross_error,104729,2734498758,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN048-REACTIVATION-INDEPENDENT-DATUM-FAILURE,reactivation,heldout_mechanism,independent_datum_failure,independent,reference_datum_failure,104729,2253231792,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN049-MOVING-SPATIAL-FOCUS-ORDINARY-INDEPENDENT,moving_spatial_focus,heldout_mechanism,ordinary_independent,independent,ordinary_noise,104729,1398302171,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN050-MOVING-SPATIAL-FOCUS-LONG-GAP-GROSS-ERROR,moving_spatial_focus,heldout_mechanism,long_gap_gross_error,long_gap,gross_error,104729,103173500,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN051-MOVING-SPATIAL-FOCUS-LONG-GAP-ORDINARY,moving_spatial_focus,heldout_mechanism,long_gap_ordinary,long_gap,ordinary_noise,104729,1455141435,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN052-MOVING-SPATIAL-FOCUS-LONG-GAP-DATUM-FAILURE,moving_spatial_focus,heldout_mechanism,long_gap_datum_failure,long_gap,reference_datum_failure,104729,1163744033,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN053-MOVING-SPATIAL-FOCUS-STATE-DEPENDENT-DATUM-FAILURE,moving_spatial_focus,heldout_mechanism,state_dependent_datum_failure,state_dependent,reference_datum_failure,104729,2470477160,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN054-MOVING-SPATIAL-FOCUS-STATE-DEPENDENT-ORDINARY,moving_spatial_focus,heldout_mechanism,state_dependent_ordinary,state_dependent,ordinary_noise,104729,1243012651,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN055-MOVING-SPATIAL-FOCUS-STATE-DEPENDENT-GROSS-ERROR,moving_spatial_focus,heldout_mechanism,state_dependent_gross_error,state_dependent,gross_error,104729,2430683896,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN056-MOVING-SPATIAL-FOCUS-PLANNED-CAMPAIGN-FAILURE-ORDINARY,moving_spatial_focus,heldout_mechanism,planned_campaign_failure_ordinary,planned_campaign_failure,ordinary_noise,104729,505733295,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN057-MOVING-SPATIAL-FOCUS-PLANNED-CAMPAIGN-FAILURE-GROSS-ERROR,moving_spatial_focus,heldout_mechanism,planned_campaign_failure_gross_error,planned_campaign_failure,gross_error,104729,2157549277,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN058-MOVING-SPATIAL-FOCUS-PLANNED-CAMPAIGN-FAILURE-DATUM-FAILURE,moving_spatial_focus,heldout_mechanism,planned_campaign_failure_datum_failure,planned_campaign_failure,reference_datum_failure,104729,667272664,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN059-MOVING-SPATIAL-FOCUS-INDEPENDENT-GROSS-ERROR,moving_spatial_focus,heldout_mechanism,independent_gross_error,independent,gross_error,104729,2618675835,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN060-MOVING-SPATIAL-FOCUS-INDEPENDENT-DATUM-FAILURE,moving_spatial_focus,heldout_mechanism,independent_datum_failure,independent,reference_datum_failure,104729,3271003718,340.000000000,"{""center_end"":0.78,""center_start"":0.25,""integration_steps"":1001,""weight_floor"":0.25,""width"":0.18}",FIL-DISP_MAX-ENVELOPE;FIL-FIG13B-CLOSED-REGIONS;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
