point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-H01-W002,P-H01,WORK,terrain_TRI_relative,,relative,C/R,0.1,22.06130018,G050-000520,True,2022
P-H01-W002,P-H01,WORK,terrain_roughness_relative,,relative,C/R,0.1,22.06130018,G050-000520,True,2022
P-H01-W003,P-H01,WORK,settlement_anchor_map_mm,431.963470319634,mm,D,36.47945205,0,G050-000840,False,2022
P-H01-W003,P-H01,WORK,kzt,0.591620111731844,1,D,0.032,0,G050-000840,True,2022
P-H01-W003,P-H01,WORK,ko,0.644134078212291,1,D,0.014,0,G050-000840,True,2022
P-H01-W003,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-000840,True,2022
P-H01-W003,P-H01,WORK,fill_density,0.917355358600616,1,C/R,0.08,13.22603572,G050-000840,True,2022
P-H01-W003,P-H01,WORK,fault_distance_m,23.6171755696076,m,C/R,25,13.22603572,G050-000840,True,2022
P-H01-W003,P-H01,WORK,lithology,carnallite,category,D,,0,G050-000840,True,2022
P-H01-W003,P-H01,WORK,terrain_TRI_relative,,relative,C/R,0.1,13.22603572,G050-000840,True,2022
P-H01-W003,P-H01,WORK,terrain_roughness_relative,,relative,C/R,0.1,13.22603572,G050-000840,True,2022
P-H01-W004,P-H01,WORK,settlement_anchor_map_mm,215.981735159817,mm,D,33.23972603,0,G050-001114,False,2022
P-H01-W004,P-H01,WORK,kzt,0.587150837988827,1,D,0.032,0,G050-001114,True,2022
P-H01-W004,P-H01,WORK,ko,0.472067039106145,1,D,0.014,0,G050-001114,True,2022
P-H01-W004,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001114,True,2022
P-H01-W004,P-H01,WORK,fill_density,0.909090936183929,1,C/R,0.08,12.04504994,G050-001114,True,2022
P-H01-W004,P-H01,WORK,fault_distance_m,37.0154766390431,m,C/R,25,12.04504994,G050-001114,True,2022
P-H01-W004,P-H01,WORK,lithology,carnallite,category,D,,0,G050-001114,True,2022
P-H01-W004,P-H01,WORK,terrain_TRI_relative,,relative,C/R,0.1,12.04504994,G050-001114,True,2022
P-H01-W004,P-H01,WORK,terrain_roughness_relative,,relative,C/R,0.1,12.04504994,G050-001114,True,2022
P-H01-W005,P-H01,WORK,settlement_anchor_map_mm,431.963470319634,mm,D,36.47945205,0,G050-001300,False,2022
P-H01-W005,P-H01,WORK,kzt,0.587150837988827,1,D,0.032,0,G050-001300,True,2022
P-H01-W005,P-H01,WORK,ko,0.472067039106145,1,D,0.014,0,G050-001300,True,2022
P-H01-W005,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,R,2.7,50,G050-001300,True,2022
P-H01-W005,P-H01,WORK,fill_density,0.942148745059967,1,C/R,0.08,4.415097127,G050-001300,True,2022
P-H01-W005,P-H01,WORK,fault_distance_m,97.6481288476939,m,C/R,25,4.415097127,G050-001300,True,2022
P-H01-W005,P-H01,WORK,lithology,carnallite,category,D,,0,G050-001300,True,2022
P-H01-W005,P-H01,WORK,terrain_TRI_relative,,relative,C/R,0.1,4.415097127,G050-001300,True,2022
P-H01-W005,P-H01,WORK,terrain_roughness_relative,,relative,C/R,0.1,4.415097127,G050-001300,True,2022
P-H01-W006,P-H01,WORK,settlement_anchor_map_mm,333.789954337899,mm,D,35.00684932,0,G050-001487,False,2022
P-H01-W006,P-H01,WORK,kzt,0.587150837988827,1,D,0.032,0,G050-001487,True,2022
P-H01-W006,P-H01,WORK,ko,0.540502793296089,1,D,0.014,0,G050-001487,True,2022
P-H01-W006,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001487,True,2022
P-H01-W006,P-H01,WORK,fill_density,0.809917330741882,1,C/R,0.08,13.67377564,G050-001487,True,2022
