published_row_id,cell_id,distance_to_anchor_m,conditioned_settlement_mm
PUBROW-06,G050-006101,221.148931717971,417.202892829382
PUBROW-06,G050-006102,203.953058324704,325.506062117182
PUBROW-06,G050-006103,198.209106753449,201.761654945085
PUBROW-06,G050-006104,204.882527317486,152.634593392311
PUBROW-06,G050-006105,219.622571845439,147.798253394866
PUBROW-06,G050-006207,257.197162867434,431.834110740095
PUBROW-06,G050-006208,197.612208026251,302.650176346953
PUBROW-06,G050-006209,177.726897232805,242.566353597257
PUBROW-06,G050-006210,155.81030132825,181.095292621538
PUBROW-06,G050-006211,148.212178986749,168.83625160591
PUBROW-06,G050-006212,157.024998009872,194.563287281278
PUBROW-06,G050-006213,175.823986031499,134.912378209534
PUBROW-06,G050-006315,243.349451823803,478.098304611996
PUBROW-06,G050-006316,179.218190697536,313.897079838463
PUBROW-06,G050-006317,157.020460819245,251.718462759058
PUBROW-06,G050-006318,131.702031555661,157.749817133696
PUBROW-06,G050-006319,122.619024282076,163.14878273165
PUBROW-06,G050-006320,133.136866103602,131.140841903198
PUBROW-06,G050-006321,154.863324192311,127.622222353721
PUBROW-06,G050-006423,250.026048426763,527.985647765725
PUBROW-06,G050-006424,220.392836455368,494.320621697049
PUBROW-06,G050-006425,141.861205356049,261.210220763787
PUBROW-06,G050-006426,105.679380077518,217.10852317577
PUBROW-06,G050-006427,62.1138581442867,187.675949420009
PUBROW-06,G050-006428,39.3463006338425,121.32124144161
PUBROW-06,G050-006429,65.1009322019959,105.029636192827
PUBROW-06,G050-006430,102.446842008786,102.09401698016
PUBROW-06,G050-006526,248.106529539227,545.434593170566
PUBROW-06,G050-006527,220.225112327539,510.948691978868
PUBROW-06,G050-006528,133.553880039218,446.858255345763
PUBROW-06,G050-006529,98.1165123717701,209.275330219571
PUBROW-06,G050-006530,48.1336680505429,138.942273300819
PUBROW-06,G050-006531,2.61725046566104,111.497494314208
PUBROW-06,G050-006532,51.9312044920985,103.882498667225
PUBROW-06,G050-006533,100.062574781706,100.91649829461
PUBROW-06,G050-006632,253.449896429253,600.284
PUBROW-06,G050-006633,222.840719998891,563.298604820954
PUBROW-06,G050-006634,140.660123406861,402.961316534305
PUBROW-06,G050-006635,110.936242950623,281.228069605716
PUBROW-06,G050-006636,70.6884007458068,113.621755314927
PUBROW-06,G050-006637,51.8348338475193,109.583312806492
PUBROW-06,G050-006638,73.3270073029036,100.261889012999
PUBROW-06,G050-006639,111.352643270966,101.434007511635
PUBROW-06,G050-006746,236.946414043017,581.580732540015
PUBROW-06,G050-006747,186.522059118881,349.824544175002
PUBROW-06,G050-006748,141.374856321765,225.265379111641
PUBROW-06,G050-006749,112.591518330644,118.527237032861
PUBROW-06,G050-006750,101.817729300942,115.962836091521
PUBROW-06,G050-006751,114.266574290122,174.816893763808
PUBROW-06,G050-006752,140.679277402475,102.906963597335
PUBROW-06,G050-006860,210.244420897504,389.106063603308
PUBROW-06,G050-006861,180.73972999869,233.749981308158
PUBROW-06,G050-006862,159.238343372442,124.350934971977
PUBROW-06,G050-006863,151.811890179919,107.87220356208
PUBROW-06,G050-006864,160.427086241694,100.018535257113
PUBROW-06,G050-006865,179.405302745201,100.097317414326
PUBROW-06,G050-006967,242.40995775259,462.278579479432
PUBROW-06,G050-006968,217.317098036683,291.761728600009
PUBROW-06,G050-006969,199.791694269521,143.235836532771
PUBROW-06,G050-006970,193.924524233233,106.356859916614
PUBROW-06,G050-006971,200.740432148299,100.530050942552
PUBROW-06,G050-006972,215.763632623967,100.001
PUBROW-07,G050-006106,255.160306024282,394.554333043603
PUBROW-07,G050-006107,238.901255752245,400.53053853084
PUBROW-07,G050-006108,223.413987923764,391.54088240853
PUBROW-07,G050-006109,218.526451488144,388.510039707924
PUBROW-07,G050-006110,224.930678209977,397.550765146213
PUBROW-07,G050-006111,241.730862737881,403.494
PUBROW-07,G050-006214,213.908348996492,385.461416932865
PUBROW-07,G050-006215,194.22618258103,382.394610786164
PUBROW-07,G050-006216,174.825084012563,366.772528195649
PUBROW-07,G050-006217,168.534299179722,363.587177653499
PUBROW-07,G050-006218,176.759186465655,360.380310158596
PUBROW-07,G050-006219,197.696256919549,379.309201809762
PUBROW-07,G050-006220,227.867966155843,344.002545951592
PUBROW-07,G050-006221,258.965530100052,373.08081102907
PUBROW-07,G050-006322,184.289025810521,357.151362290784
