training_campaigns,training_rows,model_id,family,audit_target_date,audit_rows,hyperparameters_retuned,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction
14,708,B7_two_regime_imm,imm_damped_acceleration,2023-11-07,88,False,88,6.017183040711829,3.5916836107121486,11.332915147400438,0.5368871039655585,0.5368871039655585,11.114693652345466,19.924054627843265,75.189668878397,0.8980735585839819,5.417859784202905,9.639802363702119,6.104172770658447,0.014250863010424775,0.9191427493688286,True,0.6136363636363636,0.625
14,708,B8_student_t_robust_imm,imm_student_t_robust_observation,2023-11-07,88,False,88,5.833819728577933,3.587266919748368,10.946512877714946,0.32116726671350065,0.32116726671350065,10.873164057446873,16.604063356996654,75.04466224316357,0.9049055497085612,5.232311203012445,9.267137456001441,6.104172770658447,0.04428987386792982,0.8911334537054236,True,0.625,0.625
14,708,M1_ridge,ridge,2023-11-07,88,False,88,6.80043777284147,4.419478071097703,11.50267164114194,0.5778361521261935,0.5778361521261935,13.525703755039505,17.108028686195983,70.04055258017758,0.8949971631371231,6.07195638465595,10.10757074678278,6.104172770658447,-0.11406377708210225,1.038787257949478,True,0.6022727272727273,0.625
14,708,M2_extra_trees,extra_trees,2023-11-07,88,False,88,6.570397252914355,4.463730841535321,11.193282168185883,0.6425959737931438,0.6425959737931438,12.339007524060433,18.653186518212827,69.70406358429233,0.9005697591413797,6.225067928610093,10.161357297993488,6.104172770658447,-0.07637799580263471,1.0036478788544005,True,0.6136363636363636,0.625
18,823,B1_persistence_last_rate,persistence,2023-11-07,88,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,5.788317097879457,9.446109430848567,6.104172770658447,0.0,0.9461383845625098,True,0.625,0.625
18,823,B3_profile_robust_trend,profile_robust_trend,2023-11-07,88,False,88,8.486265911541757,5.804035871862555,13.609277317725407,-0.6144848011775516,0.6144848011775516,17.675995427718128,25.427868674818786,72.54711741184246,0.8530147635671136,7.8856359610941125,12.443935932646307,6.104172770658447,-0.39024012431849253,1.3153595453766813,True,0.5568181818181818,0.625
18,823,B5_fixed_kalman,fixed_kalman,2023-11-07,88,False,88,7.194351417200139,4.096651250384224,12.969706758703834,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,6.117683106048611,10.584408129281778,6.104172770658447,-0.17859564063814903,1.1151145754857947,True,0.5795454545454546,0.625
18,823,B6_adaptive_kalman,adaptive_kalman,2023-11-07,88,False,88,6.775352131647586,4.153404953874005,12.086702282509183,-0.47352421008369594,0.47352421008369594,12.107868293150585,21.176945366900082,72.7348537186897,0.8840637531114188,5.885062911459688,10.042771708378243,6.104172770658447,-0.10995418809496438,1.0501702624625617,True,0.5909090909090909,0.625
18,823,B7_two_regime_imm,imm_damped_acceleration,2023-11-07,88,False,88,6.014953289421123,3.583216678876642,11.341166772704678,0.5239698014585852,0.5239698014585852,11.09752541788595,20.03911944814921,75.19063550100879,0.8979250769295285,5.412069841904042,9.64076289919941,6.104172770658447,0.014616146133049401,0.9323094876716569,True,0.6136363636363636,0.625
18,823,B8_student_t_robust_imm,imm_student_t_robust_observation,2023-11-07,88,False,88,5.831074817936809,3.579137660376018,10.946864735809529,0.31653196232962705,0.31653196232962705,10.737018066769634,16.79078039582909,75.03512765017922,0.9048994362932272,5.222168782057045,9.2564562204274,6.104172770658447,0.04473955161203269,0.9038085774742501,True,0.625,0.625
18,823,M1_ridge,ridge,2023-11-07,88,False,88,6.799431759525371,4.171209057789658,11.55272396146604,0.40134170911376105,0.40134170911376105,14.121115337208192,18.10689936175273,69.84963918974782,0.8940813636804724,6.107450024291237,10.21915114068858,6.104172770658447,-0.11389896960467705,1.0539025716676134,True,0.5909090909090909,0.625
18,823,M2_extra_trees,extra_trees,2023-11-07,88,False,88,6.598435523476119,4.719306372706603,11.098389117631523,0.6059073473057018,0.6059073473057018,12.77722947490151,18.87749230349336,67.71724126020835,0.9022484882700019,6.2846490113785585,10.12806963781171,6.104172770658447,-0.08097129150627835,1.0227484315042,True,0.625,0.625
