task,split,feature,rows,missing_count,missing_fraction
T5,test_complete,seismic_energy_J_m2__donor_distance_m,28,0,0.0
T5,test_complete,seismic_energy_J_m2__provenance,28,0,0.0
T5,test_complete,fill_density,28,0,0.0
T5,test_complete,fill_density__standard_uncertainty,28,0,0.0
T5,test_complete,fill_density__donor_distance_m,28,0,0.0
T5,test_complete,fill_density__provenance,28,0,0.0
T5,test_complete,fault_distance_m,28,0,0.0
T5,test_complete,fault_distance_m__standard_uncertainty,28,0,0.0
T5,test_complete,fault_distance_m__donor_distance_m,28,0,0.0
T5,test_complete,fault_distance_m__provenance,28,0,0.0
T5,test_complete,lithology,28,0,0.0
T5,test_complete,lithology__standard_uncertainty,28,28,1.0
T5,test_complete,lithology__donor_distance_m,28,0,0.0
T5,test_complete,lithology__provenance,28,0,0.0
T5,test_complete,terrain_TRI_relative,28,12,0.42857142857142855
T5,test_complete,terrain_TRI_relative__standard_uncertainty,28,0,0.0
T5,test_complete,terrain_TRI_relative__donor_distance_m,28,0,0.0
T5,test_complete,terrain_TRI_relative__provenance,28,0,0.0
T5,test_complete,terrain_roughness_relative,28,12,0.42857142857142855
T5,test_complete,terrain_roughness_relative__standard_uncertainty,28,0,0.0
T5,test_complete,terrain_roughness_relative__donor_distance_m,28,0,0.0
T5,test_complete,terrain_roughness_relative__provenance,28,0,0.0
T5,test_complete,target_campaign_type,28,0,0.0
T5,test_censored,n_history,93,0,0.0
T5,test_censored,last_settlement_mm,93,0,0.0
T5,test_censored,last_rate_mm_y,93,0,0.0
T5,test_censored,mean_last_3_rates_mm_y,93,0,0.0
T5,test_censored,std_last_3_rates_mm_y,93,0,0.0
T5,test_censored,recent_acceleration_mm_y2,93,0,0.0
T5,test_censored,current_standard_uncertainty_mm,93,0,0.0
T5,test_censored,days_since_previous_observation,93,0,0.0
T5,test_censored,forecast_horizon_days,93,0,0.0
T5,test_censored,current_campaign_type,93,0,0.0
T5,test_censored,missing_campaigns_since_previous,93,0,0.0
T5,test_censored,profile_mean_settlement_mm,93,0,0.0
T5,test_censored,profile_mean_rate_mm_y,93,0,0.0
T5,test_censored,profile_rate_std_mm_y,93,0,0.0
T5,test_censored,profile_n_observed,93,0,0.0
T5,test_censored,chainage_m,93,0,0.0
T5,test_censored,chainage_normalized_profile,93,0,0.0
T5,test_censored,kzt,93,0,0.0
T5,test_censored,kzt__standard_uncertainty,93,0,0.0
T5,test_censored,kzt__donor_distance_m,93,0,0.0
T5,test_censored,kzt__provenance,93,0,0.0
T5,test_censored,ko,93,0,0.0
T5,test_censored,ko__standard_uncertainty,93,0,0.0
T5,test_censored,ko__donor_distance_m,93,0,0.0
T5,test_censored,ko__provenance,93,0,0.0
T5,test_censored,seismic_energy_J_m2,93,0,0.0
T5,test_censored,seismic_energy_J_m2__standard_uncertainty,93,0,0.0
T5,test_censored,seismic_energy_J_m2__donor_distance_m,93,0,0.0
T5,test_censored,seismic_energy_J_m2__provenance,93,0,0.0
T5,test_censored,fill_density,93,0,0.0
T5,test_censored,fill_density__standard_uncertainty,93,0,0.0
T5,test_censored,fill_density__donor_distance_m,93,0,0.0
T5,test_censored,fill_density__provenance,93,0,0.0
T5,test_censored,fault_distance_m,93,0,0.0
T5,test_censored,fault_distance_m__standard_uncertainty,93,0,0.0
T5,test_censored,fault_distance_m__donor_distance_m,93,0,0.0
T5,test_censored,fault_distance_m__provenance,93,0,0.0
T5,test_censored,lithology,93,0,0.0
T5,test_censored,lithology__standard_uncertainty,93,93,1.0
T5,test_censored,lithology__donor_distance_m,93,0,0.0
T5,test_censored,lithology__provenance,93,0,0.0
T5,test_censored,terrain_TRI_relative,93,33,0.3548387096774194
T5,test_censored,terrain_TRI_relative__standard_uncertainty,93,0,0.0
T5,test_censored,terrain_TRI_relative__donor_distance_m,93,0,0.0
T5,test_censored,terrain_TRI_relative__provenance,93,0,0.0
T5,test_censored,terrain_roughness_relative,93,33,0.3548387096774194
T5,test_censored,terrain_roughness_relative__standard_uncertainty,93,0,0.0
T5,test_censored,terrain_roughness_relative__donor_distance_m,93,0,0.0
T5,test_censored,terrain_roughness_relative__provenance,93,0,0.0
T5,test_censored,target_campaign_type,93,0,0.0
