model_id,family,aggregation,seed,fold_id,target_date,rows,fit_seconds,inference_seconds,peak_ram_mb,peak_vram_mb,parameter_count,epoch_count,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,b1_fold_mae,fold_mae_ratio_vs_b1
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2023-01-17,2023-01-17,12,6.854836900020018,0.0011354000307619,1779.19921875,84.439453125,2897,126,12,5.299630080139114,4.00522658254623,8.27774251882479,-0.19812764578993303,0.19812764578993303,7.904277320177647,15.606536647509877,24.863028720454707,0.9440111555030335,5.210915254953784,8.208964330217501,8.344330682014652,0.36488254335822023,0.8545224686031926,True,0.6666666666666666,0.5833333333333334,8.344330682014652,0.6351174566417798
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2023-05-16,2023-05-16,88,8.41680849995464,0.0009701999370008,1780.87109375,76.27001953125,1265,174,88,6.285110162030789,5.117074436075875,8.532423952832422,-1.185262235135871,1.185262235135871,11.409071255163497,14.631243884213983,36.681237845123746,0.9101120011498355,6.552609944346143,8.931885956489714,6.278201475220701,-0.001100424514465681,1.0066378137775382,True,0.4318181818181818,0.48863636363636365,6.278201475220701,1.0011004245144657
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2023-07-25,2023-07-25,14,10.8989996999735,0.0009650000138208,1782.296875,76.10009765625,1265,193,14,7.53859973141266,3.024981723339854,12.323344625496839,-7.239019147599725,7.239019147599725,16.672310943553597,26.426935211015632,38.03988839860139,0.9006352325794,7.618516109793933,12.475604666333085,13.514482114265329,0.44218360217775377,1.2083010977687099,True,0.9285714285714286,0.6428571428571429,13.514482114265329,0.5578163978222462
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2023-11-07,2023-11-07,88,3.524996599997394,0.0010405998909845,1782.01171875,86.8720703125,10401,56,88,6.614170863421961,4.725705834856445,11.216205044386058,1.2557690007673372,1.2557690007673372,12.181173005554438,15.13709062459684,74.24171954452407,0.9001620930256313,6.236684286869026,10.008531499022956,6.104172770658446,-0.08354909205961136,1.0251873875554547,True,0.5568181818181818,0.625,6.104172770658446,1.0835490920596114
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2021-05-18,2021-05-18,84,1.0762820999952964,0.001018600014504,1773.421875,85.04736328125,2897,40,84,3.8818031788318836,3.254006908079491,5.340102778131616,-1.829638024341064,1.829638024341064,6.950086653474109,8.95656942620229,22.82977106029032,0.8831642156038694,3.963194853899344,5.501324777319209,4.847109727074055,0.19915095852902753,0.4954816790494485,True,0.6071428571428571,0.5,4.847109727074055,0.8008490414709725
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2021-07-13,2021-07-13,12,1.8501421000109983,0.0010764999897219,1774.83984375,75.81689453125,1265,67,12,4.440537298811612,4.871554379062651,5.090576946344341,-0.3556792965680125,0.3556792965680125,6.662407074313871,8.026672478952541,9.655754010196752,0.8076498113183079,4.440537298811611,5.09057694634434,6.930570676489801,0.3592825892570427,0.7387116626275455,True,1.0,1.0,6.930570676489801,0.6407174107429573
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2021-11-02,2021-11-02,91,3.366666699992493,0.0009681000374257,1777.2578125,78.05810546875,4065,67,91,6.741869652657618,4.118391557618764,11.953123123919905,-0.9318021230976686,0.9318021230976686,12.069524060831714,15.566602426487277,69.1492633187029,0.575893965481512,7.055630458690962,12.429848322069388,6.097705185018902,-0.10564047425928802,1.118702264729686,True,0.5714285714285714,0.5824175824175825,6.097705185018902,1.105640474259288
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2022-03-01,2022-03-01,14,1.4532488000113517,0.0009627999970689,1775.8046875,76.94384765625,4065,21,14,10.2288686475128,7.111058341477381,17.126577512630675,-3.213467956596856,3.213467956596856,17.460089832235347,33.3986589536752,56.60105708978266,0.6390271317448623,10.6260470796655,17.697158620210068,5.806703046969976,-0.7615622091869112,1.6882470674653907,True,0.5714285714285714,0.6428571428571429,5.806703046969976,1.7615622091869112
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2022-05-17,2022-05-17,89,3.188481399905868,0.0010063000954687,1777.1875,86.66015625,10401,75,89,5.070527809148331,3.3750180801755008,7.253715851808855,0.31793348768349994,0.31793348768349994,10.483800694555043,17.120984630687555,27.32190177292005,0.8445130435821618,4.5788829461154785,6.476825902960218,4.483330681766071,-0.13097341442388366,0.8381194990326962,True,0.6404494382022472,0.6629213483146067,4.483330681766071,1.1309734144238837
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2022-07-19,2022-07-19,13,4.237146900035441,0.0009848999325186,1777.91796875,86.26171875,10401,87,13,14.519903789017178,15.314925620537338,17.556133718140902,3.8598768810556745,3.8598768810556745,24.812247730628638,30.224771168461345,37.81735303735341,0.29034696143551997,14.519903789017182,17.556133718140902,12.234021875457897,-0.18684631569483146,2.517160350883262,True,0.46153846153846156,0.5384615384615384,12.234021875457897,1.1868463156948315
