design,model_id,interval_source,dimension,segment,support_status,distribution_family,n,coverage_50,mean_width_50,median_width_50,interval_score_50,coverage_80,mean_width_80,median_width_80,interval_score_80,coverage_95,mean_width_95,median_width_95,interval_score_95,weighted_interval_score,crps,nll,quantile_crossing_rate,native_interval_status
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H06,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,17,1.0,12.661212613949056,11.04291615538288,12.661212613949056,1.0,39.47032428239421,35.70023490304033,39.47032428239421,1.0,113.56257553499769,114.45719472254683,113.56257553499769,3.199042344230026,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H07,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,19,0.5789473684210527,10.83610560684115,9.318790426509011,13.904485575732371,1.0,33.73454834653914,30.126372649891806,33.73454834653914,1.0,96.70481148064505,96.58704235525967,96.70481148064505,3.1531668902460352,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-V01,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,18,0.5,6.08916882479268,6.2602776833959055,11.49612786450884,0.7777777777777778,12.637166740457033,12.29831931147423,15.798059643905411,1.0,23.510156534268262,24.29370501577027,23.510156534268262,1.9602721318673955,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-V02,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.2857142857142857,7.760324428562116,7.336820588900025,18.676641221897842,0.7619047619047619,20.922858555006798,19.32493161369561,29.618765703576866,1.0,65.27324716814643,67.58251740314526,65.27324716814643,3.5079384912963385,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-V03,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.6666666666666666,7.3427168852185325,6.615089716696517,11.004257105377505,0.9047619047619048,18.315159547388777,17.131165552053655,21.827191532710124,1.0,49.212673949550336,30.051303989721177,49.212673949550336,2.2136733190227225,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-V04,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.6666666666666666,10.512618497763347,11.099386195436665,11.721339511110695,1.0,32.83219467333464,35.88279480538293,32.83219467333464,1.0,95.03232806739345,103.7331266297394,95.03232806739345,3.0397876164995106,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-V05,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,17,0.8235294117647058,10.536499372166988,10.093862436689651,11.321609605274254,1.0,31.802698702597475,31.887924766475294,31.802698702597475,1.0,94.69189236858941,95.92129410036836,94.69189236858941,2.723242419965599,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-V06,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,19,0.6842105263157895,11.336776953826993,8.609770785629365,14.371727405741458,1.0,35.17001965543959,27.834209296108266,35.17001965543959,1.0,99.74369034009699,89.23822271772985,99.74369034009699,3.2944592744268335,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,zone,GEO_NE,ELIGIBLE_SUPPORT,distribution_free_conformal,103,0.6990291262135923,11.186029895959491,9.85410624609463,13.932196931647715,0.9902912621359223,34.82233810265594,31.521386987279612,34.990823107097846,1.0,99.7324622503516,97.18841356431739,99.7324622503516,3.245821783605222,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,zone,GEO_NW,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,24,0.5416666666666666,8.405963641054749,8.016364711667212,12.708964469744904,0.9583333333333334,24.33056641015811,20.997930012654077,24.340473017719955,1.0,81.65084247398475,86.0101543285966,81.65084247398475,2.7702157229839535,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,zone,GEO_SE,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,22,0.45454545454545453,8.182316452753316,5.715751317434965,18.307700727145424,0.8636363636363636,20.97163674809743,13.732643855057688,36.735071673836295,0.9545454545454546,75.88798483018208,62.88692874351278,91.69669230897657,3.8153956916114904,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,zone,GEO_SW,ELIGIBLE_SUPPORT,distribution_free_conformal,117,0.3504273504273504,6.052482952904294,6.218954287905859,34.86021469682126,0.5982905982905983,12.552956720572817,12.09229856299067,69.0969415337938,0.7777777777777778,23.323103485569316,23.079640468802722,184.0916636632967,7.168191367635197,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,gap,gap,ELIGIBLE_SUPPORT,distribution_free_conformal,202,0.5643564356435643,9.197694132589167,8.024250880018993,18.533861322336783,0.8663366336633663,25.950675229572997,22.683681429388592,39.22060419509387,0.9455445544554455,71.95160516556942,75.29444564978299,103.61369897774154,3.9363439741648105,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,gap,no_gap,ELIGIBLE_SUPPORT,distribution_free_conformal,64,0.34375,6.001897802132906,5.3873161145484545,38.71259343198201,0.609375,13.416718231387092,11.381258580533729,80.59652845821358,0.75,32.75278690300691,21.145300082287527,232.15857057908224,8.2543817736005,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,overall,all,ELIGIBLE_SUPPORT,distribution_free_conformal,266,0.5225563909774437,8.370647215703844,7.182291706030268,22.141099523556473,0.8082706766917294,22.324582353004555,16.88581393442353,45.668784229961716,0.8984962406015038,59.006075069966236,63.006697971282094,119.57741001066452,4.629792896960909,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,transition,accelerating,ELIGIBLE_SUPPORT,distribution_free_conformal,43,0.32558139534883723,5.7450003380201595,5.8991481402091495,44.11986958562871,0.5116279069767442,12.150198517844045,12.127567073341368,90.04459587119669,0.5813953488372093,25.284719409519656,22.793503300316857,228.5260027616255,9.089416589976857,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,transition,decelerating,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.25,6.73521360615579,5.206472873018454,40.11022380856288,0.6,16.891398750951858,12.836186513109766,82.28261757680858,0.85,42.124879410644496,24.936376393769066,253.73075975728403,8.646627126766582,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,transition,stable,ELIGIBLE_SUPPORT,distribution_free_conformal,182,0.5934065934065934,9.307458869259817,8.046042828287632,13.977689570849929,0.9010989010989011,25.79307798666634,22.3327091598642,28.69690068732492,0.989010989010989,70.0229828325063,75.53736005032957,71.33815502440758,2.9008156386571,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,transition,volatile_or_gap,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.5714285714285714,7.1854932625691825,7.285861570634651,30.77305252466868,0.8095238095238095,18.272009573314605,15.311827551140311,67.0233669561454,0.8095238095238095,48.652027155839946,37.958245743355704,186.80064449995265,6.657095640555861,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-D01,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.2857142857142857,5.42725098800931,5.96931035275955,31.048846785905912,0.5238095238095238,11.652583951280613,11.567082275194338,59.61672733616181,0.7142857142857143,22.271761843974314,20.59000648869599,137.69902332972802,6.151020076816828,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H01,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.4,6.007149104685883,6.397226336026566,21.20548709940207,0.75,13.010476154802458,12.094690512735664,37.99587762173313,0.85,25.299366388359058,21.529176521035243,68.81996424274111,4.00870302377923,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H02,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.15,4.951721669907306,5.004478229470596,41.883142175470056,0.45,10.711237346470218,10.535155726235192,83.10450030057106,0.55,20.668930951327678,19.332590700579104,221.13248636606187,8.60625803704308,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H03,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,19,0.42105263157894735,7.951244922919463,5.370401167654563,18.775073516421333,0.8421052631578947,20.772348387752146,13.445368638099524,37.36941996871745,0.9473684210526315,70.60666230008766,49.153980700929274,93.28613062290907,3.9333058365313067,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H04,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.3,6.233442907760991,6.924425838582902,65.72743921490357,0.5,13.378299976230176,14.087570032247866,141.34475320073167,0.65,25.465690393563214,26.000889001637177,441.5652858964801,14.410367711692254,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H05,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,13,0.38461538461538464,11.16313884489931,9.549608720679288,21.231937584883404,0.9230769230769231,32.71810486323899,30.081686363589426,34.44000291738804,1.0,88.79257273129971,87.59483501220025,88.79257273129971,4.08651951461008,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H06,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,17,1.0,12.953246017958405,11.129970056543863,12.953246017958405,1.0,38.24220399690891,35.05989389409021,38.24220399690891,1.0,103.71778650421861,102.09087296765601,103.71778650421861,3.112296901846266,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-H07,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,19,0.6842105263157895,11.08841503899536,9.39225263968844,14.208862849981932,1.0,32.70708821594085,29.58600780604603,32.70708821594085,1.0,88.14272874430394,86.1514690737915,88.14272874430394,3.081559916748103,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-V01,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,18,0.5,5.771760791548826,6.042307620916901,11.449061403910015,0.7777777777777778,12.454838448257846,12.360799903706553,15.804045858592083,1.0,23.955436899927136,24.558856503598633,23.955436899927136,1.9528015988747112,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-V02,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.3333333333333333,7.5884979936632435,6.772911145051268,19.2835182124778,0.7619047619047619,20.14349907005388,16.080724399848336,30.942591792952218,0.9523809523809523,64.94745413190269,64.42564973279298,67.58639362955257,3.6280602054772904,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-V03,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.6666666666666666,7.121064865231496,6.106652646721599,11.015556542080827,0.9047619047619048,17.777281599813676,15.594690626111955,21.139787312588936,1.0,49.2570255773682,30.37929628068234,49.2570255773682,2.1910023851870766,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-V04,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.7619047619047619,10.746333165018072,11.18688526318374,11.389735546621855,1.0,31.842056883281572,35.239179291590546,31.842056883281572,1.0,86.61556536224563,93.98314652545149,86.61556536224563,2.893700116430257,,,,
spatiotemporal_leave_zone_out,B6_adaptive_kalman,conformalized,profile,P-V05,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,17,0.8235294117647058,10.739216235716261,10.26024775548245,11.595006836288508,1.0,30.77720799940451,30.38587925072578,30.77720799940451,1.0,87.62542456654012,91.43367213630023,87.62542456654012,2.6623326677481063,,,,
