point_id,profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-H04-W002,P-H04,WORK,78.93254848,0.330082618,0.546927374301676,0.032,0,D,0.495530726256983,0.014,0,D,7.5,2.584128064,30.68801066,R,0.115702480077744,0.08,29.81059822,C/R,93.5913942168427,25,29.81059822,C/R,carnallite,,0,D,0.105555555555556,0.1,29.81059822,C/R,0.159477124183007,0.1,29.81059822,C/R
P-H04-W003,P-H04,WORK,199.1466662,0.4225927127,0.542458100558659,0.032,0,D,0.634357541899441,0.014,0,D,7.5,1.2,0,D,0.0,0.08,20.38450686,C/R,236.653164807915,25,20.38450686,C/R,carnallite,,50,R,0.0611111111111111,0.1,20.38450686,C/R,0.101960784313725,0.1,20.38450686,C/R
P-H04-W004,P-H04,WORK,320.0650616,0.5156447804,0.542458100558659,0.032,0,D,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.0,0.08,23.71328019,C/R,136.785970713566,25,23.71328019,C/R,carnallite,,0,D,0.155555555555556,0.1,23.71328019,C/R,0.220915032679739,0.1,23.71328019,C/R
P-H04-W005,P-H04,WORK,398.7020552,0.5761594342,0.515642458100559,0.032,0,D,0.495530726256983,0.014,0,D,7.5,1.2,0,D,0.0,0.08,20.5403593,C/R,36.9187766192174,25,20.5403593,C/R,sylvinite,,0,D,,0.1,20.5403593,C/R,,0.1,20.5403593,C/R
P-H04-W006,P-H04,WORK,506.895187,0.6594188472,0.537988826815642,0.032,0,D,0.493575418994413,0.014,0,D,7.5,1.2,0,D,0.0578512400388718,0.08,19.17954885,C/R,62.9484174751317,25,19.17954885,C/R,sylvinite,,0,D,0.427777777777778,0.1,19.17954885,C/R,0.547712418300654,0.1,19.17954885,C/R
P-H04-W007,P-H04,WORK,599.4702694,0.7306594785,0.323463687150838,0.032,0,D,0.540502793296089,0.014,0,D,7.5,1.2,0,D,0.371900826692581,0.08,21.25113608,C/R,147.023151046991,25,21.25113608,C/R,carnallite,,0,D,0.333333333333333,0.1,21.25113608,C/R,0.423529411764706,0.1,21.25113608,C/R
P-H04-REF-B,P-H04,REF,949.4702694,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H05-REF-A,P-H05,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H05-W001,P-H05,WORK,0,0.2325352463,0.350279329608938,0.032,0,D,0.399720670391061,0.014,0,D,7.5,1.2,0,D,0.0,0.08,29.55768508,C/R,587.842415045166,25,29.55768508,C/R,carnallite,,0,D,0.177777777777778,0.1,29.55768508,C/R,0.516339869281046,0.1,29.55768508,C/R
P-H05-W002,P-H05,WORK,137.3503853,0.3237889768,0.399441340782123,0.032,0,D,0.387988826815642,0.014,0,D,7.5,1.2,0,D,0.0,0.08,32.99901868,C/R,476.119561613105,25,32.99901868,C/R,carnallite,,0,D,0.361111111111111,0.1,32.99901868,C/R,0.545098039215686,0.1,32.99901868,C/R
P-H05-W003,P-H05,WORK,247.9338352,0.397259119,0.350279329608938,0.032,0,D,0.387988826815642,0.014,0,D,7.5,1.2,0,D,0.0,0.08,27.24816869,C/R,400.334144718214,25,27.24816869,C/R,replacement_rock_salt,,0,D,0.466666666666667,0.1,27.24816869,C/R,0.661437908496732,0.1,27.24816869,C/R
P-H05-W004,P-H05,WORK,416.3388797,0.5091451432,0.336871508379888,0.032,0,D,0.387988826815642,0.014,0,D,7.5,1.2,0,D,0.0247933883219957,0.08,25.95125367,C/R,286.656019375879,25,25.95125367,C/R,replacement_rock_salt,,0,D,0.477777777777778,0.1,25.95125367,C/R,0.623529411764706,0.1,25.95125367,C/R
P-H05-W005,P-H05,WORK,542.0922362,0.5926939653,0.327932960893855,0.032,0,D,0.387988826815642,0.014,0,D,7.5,2.7,50,R,0.0909090936183929,0.08,30.09983907,C/R,172.977894033544,25,30.09983907,C/R,carnallite,,0,D,0.605555555555556,0.1,30.09983907,C/R,0.435294117647059,0.1,30.09983907,C/R
P-H05-W006,P-H05,WORK,681.1312449,0.6850695943,0.323463687150838,0.032,0,D,0.387988826815642,0.014,0,D,7.5,1.2,0,D,0.0909090936183929,0.08,33.30290564,C/R,97.1924771386534,25,33.30290564,C/R,replacement_rock_salt,,0,D,0.283333333333333,0.1,33.30290564,C/R,0.168627450980392,0.1,33.30290564,C/R
P-H05-W007,P-H05,WORK,805.1481682,0.7674647537,0.350279329608938,0.032,0,D,0.384078212290503,0.014,0,D,7.5,1.2,0,D,0.0330578498542309,0.08,26.76511814,C/R,6.10957884679257,25,26.76511814,C/R,replacement_rock_salt,,0,D,0.766666666666667,0.1,26.76511814,C/R,0.54640522875817,0.1,26.76511814,C/R
P-H05-REF-B,P-H05,REF,1155.148168,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H06-REF-A,P-H06,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H06-W001,P-H06,WORK,0,0.2425972328,0.287709497206704,0.032,0,D,0.382122905027933,0.014,0,D,22.5,1.2,0,D,0.776859521865845,0.08,27.4305865,C/R,670.312580616689,25,27.4305865,C/R,carnallite,,0,D,0.405555555555556,0.1,27.4305865,C/R,0.46797385620915,0.1,27.4305865,C/R
P-H06-W002,P-H06,WORK,142.9683477,0.3416935915,0.287131484083986,0.072,50,R,0.376256983240223,0.014,0,D,22.5,1.2,0,D,0.950413227081299,0.08,19.52878382,C/R,811.554947108061,25,19.52878382,C/R,carnallite,,0,D,0.483333333333333,0.1,19.52878382,C/R,0.166013071895425,0.1,19.52878382,C/R
P-H06-W003,P-H06,WORK,268.8390558,0.4289389786,0.277036910352518,0.072,50,R,0.30195530726257,0.014,0,D,25.8333333333333,2.7,50,R,0.942148745059967,0.08,29.06379327,C/R,912.158431249877,25,29.06379327,C/R,carnallite,,0,D,0.633333333333333,0.1,29.06379327,C/R,0.45359477124183,0.1,29.06379327,C/R
P-H06-W004,P-H06,WORK,367.2404114,0.4971443973,0.263629089123467,0.072,50,R,0.3,0.014,0,D,25.0,2.7,50,R,0.991735517978668,0.08,30.27426417,C/R,828.123976814275,25,30.27426417,C/R,carnallite,,0,D,0.616666666666667,0.1,30.27426417,C/R,0.443137254901961,0.1,30.27426417,C/R
P-H06-W005,P-H06,WORK,479.6612772,0.5750672286,0.257580607251022,0.072,50,R,0.3,0.014,0,D,25.8333333333333,2.7,50,R,0.975206613540649,0.08,22.2009845,C/R,744.089522378672,25,22.2009845,C/R,carnallite,,0,D,0.444444444444444,0.1,22.2009845,C/R,0.444444444444445,0.1,22.2009845,C/R
P-H06-W006,P-H06,WORK,663.0800503,0.7022011909,0.268753791608564,0.072,50,R,0.3,0.014,0,D,22.5,1.2,0,D,0.842975199222565,0.08,29.74811242,C/R,618.037840725268,25,29.74811242,C/R,carnallite,,0,D,0.333333333333333,0.1,29.74811242,C/R,0.436601307189542,0.1,29.74811242,C/R
P-H06-W007,P-H06,WORK,742.7204958,0.7574027672,0.278823245937504,0.07200241076,50.01506728,R,0.3,0.014,0,D,22.5,1.2,0,D,0.876033067703247,0.08,23.95098434,C/R,543.976373334031,25,23.95098434,C/R,carnallite,,0,D,0.427777777777778,0.1,23.95098434,C/R,0.558169934640523,0.1,23.95098434,C/R
P-H06-REF-B,P-H06,REF,1092.720496,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
